GeneID	type	symbol
329	synonym	MIHB
329	synonym	RNF48
329	synonym	c-IAP1
329	synonym	cIAP1
330	symbol	BIRC3
330	synonym	AIP1
330	synonym	API2
330	synonym	CIAP2
330	synonym	HAIP1
330	synonym	HIAP1
330	synonym	MALT2
330	synonym	MIHC
330	synonym	RNF49
330	synonym	c-IAP2
331	symbol	XIAP
331	synonym	API3
331	synonym	BIRC4
331	synonym	IAP-3
331	synonym	ILP1
331	synonym	MIHA
331	synonym	XLP2
331	synonym	hIAP-3
331	synonym	hIAP3
332	symbol	BIRC5
332	synonym	API4
332	synonym	EPR-1
333	symbol	APLP1
333	synonym	APLP
334	symbol	APLP2
334	synonym	APLP-2
334	synonym	APPH
334	synonym	APPL2
334	synonym	CDEBP
335	symbol	APOA1
336	symbol	APOA2
336	synonym	Apo-AII
336	synonym	ApoA-II
336	synonym	apoAII
337	symbol	APOA4
338	symbol	APOB
338	synonym	FLDB
338	synonym	LDLCQ4
339	symbol	APOBEC1
339	synonym	APOBEC-1
339	synonym	BEDP
339	synonym	CDAR1
339	synonym	HEPR
341	symbol	APOC1
341	synonym	Apo-CI
341	synonym	ApoC-I
342	symbol	APOC1P1
343	symbol	AQP8
343	synonym	AQP-8
344	symbol	APOC2
344	synonym	APO-CII
344	synonym	APOC-II
345	symbol	APOC3
345	synonym	APOCIII
345	synonym	HALP2
346	symbol	APOC4
346	synonym	APO-CIV
346	synonym	APOC-IV
347	symbol	APOD
348	symbol	APOE
348	synonym	AD2
348	synonym	APO-E
348	synonym	LDLCQ5
348	synonym	LPG
350	symbol	APOH
350	synonym	B2G1
350	synonym	B2GP1
350	synonym	BG
351	symbol	APP
351	synonym	AAA
351	synonym	ABETA
351	synonym	ABPP
351	synonym	AD1
351	synonym	APPI
351	synonym	CTFgamma
351	synonym	CVAP
351	synonym	PN-II
351	synonym	PN2
353	symbol	APRT
353	synonym	AMP
353	synonym	APRTD
354	symbol	KLK3
354	synonym	APS
354	synonym	KLK2A1
354	synonym	PSA
354	synonym	hK3
355	symbol	FAS
355	synonym	ALPS1A
355	synonym	APO-1
355	synonym	APT1
355	synonym	CD95
355	synonym	FAS1
355	synonym	FASTM
355	synonym	TNFRSF6
356	symbol	FASLG
356	synonym	ALPS1B
356	synonym	APT1LG1
356	synonym	APTL
356	synonym	CD178
356	synonym	CD95-L
356	synonym	CD95L
356	synonym	FASL
356	synonym	TNFSF6
357	symbol	SHROOM2
357	synonym	APXL
357	synonym	HSAPXL
358	symbol	AQP1
358	synonym	AQP-CHIP
358	synonym	CHIP28
358	synonym	CO
359	symbol	AQP2
